jaar,kampioenschap,snelschaak,open tornooi,prijs inzet
1971,f vandenbosch, d dillens &amp; g&nbsp;rosseel,-,-
1972,f vandenbosch,geen winnaar,-,-
1973,f vandenbosch,-,-,-
1974,d dillens ,-,-,-
1975,f janssens ,-,-,-
1976,f vandenbosch,-,-,-
1977,g rosseel,-,-,-
1978,p lemmens,-,-,-
1979,f mertens,-,-,-
1980,j boers,j boers,j boers,-
1981,j boers,f mertens,s vanderwaeren,p debast
1982,s vanderwaeren,s vanderwaeren,e pletinckx,s vanderwaeren
1983,s vanderwaeren,s vanderwaeren,s vanderwaeren,p debast
1984,s vanderwaeren,s vanderwaeren,s vanderwaeren,e pletinckx
1985,j boers &amp; g&nbsp;rosseel,s vanderwaeren,w taelemans,p debast
1986,j boers,j boers,e pletinckx,p lemmens &amp; j&nbsp;boers &amp; p&nbsp;debast
1987,s vanderwaeren,p debouvere,b malfliet,s vanderwaeren
1988,j boers,p debouvere,b malfliet,s vanderwaeren
1989,w taelemans,b malfliet,b malfliet,m maeckelbergh
1990,s vanderwaeren,s vanderwaeren,h van cauwelaert,b malfliet
1991,p debast,b malfliet,s vanderwaeren &amp; vanderheyden,w deklerck
1992,s vanderwaeren,s vanderwaeren,s vanderwaeren &amp; brn&nbsp;louckx,s vanderwaeren
1993,b malfliet,b malfliet,w taelemans,p de bosscher
1994,b malfliet,w taelemans &amp; l&nbsp;van&nbsp;nerom,r steenwerckx,p de bosscher
1995,w taelemans,l van nerom,l van duuren,e cornelis
1996,w taelemans,p debouvere,e pletinckx,l van duuren
1997,m maeckelbergh,b malfliet &amp; d&nbsp;lot,g maeckelbergh,p lemmens
1998,b malfliet,b malfliet,m maeckelbergh,w deklerck
1999,g maeckelbergh,s vanderwaeren,s vanderwaeren,p debast
2000,w taelemans &amp; e&nbsp;cornelis &amp; p&nbsp;debast,p de bosscher,-,p de bosscher
2001,s vanderwaeren,s vanderwaeren,-,s vanderwaeren
2002,p de bosscher,d lot,p ertveldt &amp; s&nbsp;vanderwaeren,p ertveldt &amp; e&nbsp;cornelis
2003,s vanderwaeren,s vanderwaeren,s vanderwaeren,s vanderwaeren
2004,s vanderwaeren,e cornelis,d lot,s vanderwaeren
2005,s vanderwaeren,p de bosscher,l van duuren,s vanderwaeren
2006,s vanderwaeren,s vanderwaeren,-,j van mechelen
2007,s vanderwaeren,s vanderwaeren,-,e cornelis
2008,s vanderwaeren,s vanderwaeren,-,j van mechelen
2009,s vanderwaeren,p de bosscher,-,j van mechelen
2010,s vanderwaeren,e cornelis &amp; b&nbsp;malfliet,-,s vanderwaeren
2011,s vanderwaeren,d lot,d lot,s vanderwaeren
2012,s vanderwaeren,d lot,d lot,p de bosscher &amp; s&nbsp;vanderwaeren
2013,s vanderwaeren,s vanderwaeren,s vanderwaeren,p de bosscher &amp; s&nbsp;vanderwaeren
2014,d lot ,d lot,-,s vanderwaeren
2015,d lot,s vanderwaeren,-,s vanderwaeren
2016,s vanderwaeren,s vanderwaeren,s vanderwaeren,s vanderwaeren
2017,d lot, d lot,d lot &amp; s&nbsp;vanderwaeren,s vanderwaeren
